,text,likes
133,"Coming from a break up and on the process of letting go andr moving forward with life, Lovesick Girls really hit hard. This is the anthem of my life rn.",2
134,BLACKPINK is perfection that can make imperfect things perfect.,
135,"لا تتظاهر بالقوة
فعندما كنت صغيرا كنت تبكي وتصرخ فقط لانك جائع",4
136,"popular opinion:
We all want to see song performed this on stage",2.4K
137,"My list:
Black pink 
Treasure
ONG Seong Wu",3
138,"Not trying to be rude
I think Preety Savage should have M/V instead of Lovesick Girls Becuz Preety Savage is aaaaaamammmaziiinggg🔥🔥🔥🔥
I MEAN LISA RAP IS KILLING ME👑👑⭐⭐",3
139,"UNITERS presentes. 
Estamos apoiando vcs.
Nos ajudem em one Love.https://youtu.be/Iv1VR5Jdgoc",3
140,es la mejor música del mundo,5
141,"Jisoo : PERFECT
Jennie : PERFECT
Rosé : PERFECT
Lisa: PERFECT",259
142,الله يرحم حملات ستريم النيشن كل ما يسوون حمله النت يخلص عندي.,4
143,WHAT THE HELL?!! ALL THE SONGS IN THE ALBUM ARE A BOP!! QUEENS NEVER DISAPPOINT US,3
144,AMO BLACK PINCK ATENÇÃO GENTE POR FAVOR CONHEÇAM DREAMCATCHER ESSE GRUPO É A INOVAÇÃO DO KPOP DE VERDADE,
145,"Estou aqui de passagem para agradecer o apoio dos fãs do bts na nova música do now united one love
https://youtu.be/Iv1VR5Jdgoc

Estoy aquí de paso para agradecer el apoyo de los fans de bts en la nueva música de Now United One Love.",2
146,"ME: THIS YEAR IS THE WORST YEAR EVER 

BLACKPINK: ARE YOU SURE?",543
147,BLACK PINCK E DREAMCATCHER AMO OS DOIS,1
148,"Blinks why this song is get down and down views
😱",4
149,FACT: they all have the same boyfriend,
150,DREAMCATCHER BOCA E BLACK PINCK LOVESICK GIRLS,2
151,"Blackpink just released so many songs at once, so other people also listen to the other songs which might be the reason why the view for Lovesick is much lower than usual. But that’s okay, as long as we all enjoy all of their songs then it’s okay! Don’t forget to listen on Spotify and Apple Music!",277
152,DREAMCATCHER BOCA E BLACK PINCK LOVESICK GIRLS,2
153,"Whoever dressed Jisoo like that must be fired! 🚶🏻‍♀️ 


what is that ?",
154,Hey. Streaming mv hylt. We need to win,5
155,Jennie's outfit on born alone die background is giving me 2012 vibes,
156,"i can't even imagine how excited the girls are especially Jisoo & Jennie, this is a BOP! you did so well Blackpink!",324
157,"[Recuento semanal Blink's]
• Viernes, 06 de Nov - 299 millones",1
158,VOTE ON MAMA BLINKS! FIGHTING!,3
159,الاف اقتباسات مخزنة في هاتفي، ولم اجد سطراً واحداً يلامس البراكين التي تمزق قلبي... يبدو أن مايدور في قلبي ألعن من أن يختصر باقتباس....,3
