형태소,품사,분류,카운트
',Punctuation,"26,""So let me introduce them to who is still confused who's who-",1
',Punctuation,"42,Dont tell me everyone forget about jennie's issue here. She didnt deserve any hate or sexual things when the haters are the one who is sexualizing jennie. Jennie doesn't deserve any hate smh. Yall just mad shes better than y'all. dont waste time hating jennie start taking care of yourself and know that hating is a bad thing. Yall should grow up",3
',Punctuation,"45,This song is just so refreshing to the ears it's not like their other songs that has a lot of beats to it",1
',Punctuation,"48,""I'm not blink, but I'm not sure after seeing this song!""",2
',Punctuation,"51,There's a think missing in my life. That's Lisa's wardrobe.",3
',Punctuation,"52,""Who's watching now in halloween?",1
',Punctuation,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",7
',Punctuation,"57,Don't forget to vote them in MAMA in all the categories they are in included. I truly believe that they deserve to win Artist or Song of the Year.",1
',Punctuation,"7,Guys pls dont' foget vote BLACKPINK in MAMA 2020.",1
',Punctuation,Anugraha's ASMR,1
',Punctuation,BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO,2
',Punctuation,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,1
',Punctuation,BLACKPINK - 'Kill This Love' M/V,2
',Punctuation,BLACKPINK - 'Lovesick Girls' DANCE PRACTICE VIDEO,2
',Punctuation,BLACKPINK - 'Lovesick Girls' Jimmy Kimmel Live,2
',Punctuation,BLACKPINK - 'Lovesick Girls' M/V,2
',Punctuation,BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,2
',Punctuation,BLACKPINK - '붐바야'(BOOMBAYAH) M/V,1
',Punctuation,BLACKPINK - '휘파람'(WHISTLE) M/V,1
',Punctuation,"BLACKPINK isn't just a group, they're an artistic reconstruction, the breeze you respire, a motive for existence, a moment for history books, a body of finest craftsmanship, a departure from this atrocious cosmos, and an embosom from a cherished one.",2
',Punctuation,BTS (방탄소년단) 'Dynamite' Official MV,2
',Punctuation,"Blinks if you want blackpink to attend award show then vote for them on all the voting platform- like choeaedol,  idol champ , mwave etc. Don't be lazy Pinks didn't raise lazy fandom ",2
',Punctuation,Don't depend on others,2
',Punctuation,Don't forget to vote them in MAMA in all the categories they are in included. I truly believe that they deserve to win Artist or Song of the Year.,1
',Punctuation,Dont tell me everyone forget about jennie's issue here. She didnt deserve any hate or sexual things when the haters are the one who is sexualizing jennie. Jennie doesn't deserve any hate smh. Yall just mad shes better than y'all. dont waste time hating jennie start taking care of yourself and know that hating is a bad thing. Yall should grow up,3
',Punctuation,Guys pls dont' foget vote BLACKPINK in MAMA 2020.,1
',Punctuation,"I'm not blink, but I'm not sure after seeing this song!",2
',Punctuation,"It doesn't matter if pikks attend or not , that award will be added to their awards list",1
',Punctuation,"It doesn't matter if pikks attend or not , that award will be added to their awards list""",1
',Punctuation,Jennie: With loren-Don't doctor help me when i am lovesick .,1
',Punctuation,"Jennie: With loren-Don't doctor help me when i am lovesick .""",1
',Punctuation,Jisoo : I'm Jisoo I'm ok,2
',Punctuation,"Jisoo : I'm Jisoo I'm ok""",2
',Punctuation,"Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in",3
',Punctuation,"Jisoo : I'm Jisoo i'm okay, I don't have Loren but I have Jung hae in""",3
',Punctuation,Jisoo: that's a pity,1
',Punctuation,"Jisoo: that's a pity""",1
',Punctuation,Red Velvet 레드벨벳 'Psycho' MV,2
',Punctuation,So let me introduce them to who is still confused who's who-,1
',Punctuation,"TWICE """"I CAN'T STOP ME"""" M/V",1
',Punctuation,There's a think missing in my life. That's Lisa's wardrobe.,3
',Punctuation,They are nominated in multiple categories. Stream how you like that as well. Stream in the proper way.  Leave a like if you haven't already.,1
',Punctuation,This song is just so refreshing to the ears it's not like their other songs that has a lot of beats to it,1
',Punctuation,Who's watching now in halloween?,1
',Punctuation,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",7
',Punctuation,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)",2
',Punctuation,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)""",2
'(,Punctuation,BLACKPINK - '붐바야'(BOOMBAYAH) M/V,1
'(,Punctuation,BLACKPINK - '휘파람'(WHISTLE) M/V,1
(,Punctuation,1 day ago (edited),1
(,Punctuation,1 month ago (edited),2
(,Punctuation,"13,""In lovesick girls  ,  are you notice that they was not say      (  BLACK PINK IN YOUR AREA )""",1
(,Punctuation,18 hours ago (edited),1
(,Punctuation,19 hours ago (edited),2
(,Punctuation,21 hours ago (edited),1
(,Punctuation,3 weeks ago (edited),1
(,Punctuation,4 weeks ago (edited),4
(,Punctuation,BLACKPINK - 'Ice Cream (with Selena Gomez)' M/V,1
(,Punctuation,BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,1
(,Punctuation,BTS (방탄소년단) 'Dynamite' Official MV,1
(,Punctuation,Blinks please vote for Blackpink in the MWAVE APP. (MAMA 2020) ,1
(,Punctuation,HYLT is predicted to lose its tittle as most viewed K-pop MV of 2020 in December (or even sooner),2
(,Punctuation,"In lovesick girls  ,  are you notice that they was not say      (  BLACK PINK IN YOUR AREA )",1
(,Punctuation,STAN BLACKPINK FOR A BETTER LIFE. VOTE FOR THEM (MAMA 2020),2
(,Punctuation,"STAN BLACKPINK FOR A BETTER LIFE. VOTE FOR THEM (MAMA 2020)""",2
(,Punctuation,[MV] 마마무(MAMAMOO) - HIP,1
(,Punctuation,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)",1
(,Punctuation,"• The first group in the world to have 3 MV's with more than 1B and also the first act in Korea to have 3 MV's with 1B (PSY has top with Gangnam Style and Gentlemen, but now BP is on top with DDDD, KTL and BOOMBAYAH)""",1
(mama.mwave.me,URL,"56,""let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!""",1
(mama.mwave.me,URL,"let's support BLACKPINK to the fullest at MAMA 2020 (mama.mwave.me) ... # YOU want to see JENNIE's face feeling bad because you lost .... # YOU want to see JISOO's face feel bad because you lost ... # YOU want to see LISA's face feeling bad because you lost ... # YOU want to see ROSIE's face feeling bad because you lost ........ LET'S CHOOSE IN 2020 MAMA DON'T TAKE JENNIE, JISOO, LISA, ROSIE TO BE SAD ... PROVE BLACKPINK IS MANY FANS AND PROVE YOU LOVE BLACKPINK .... !!!!!",1
),Punctuation,1 day ago (edited),1
),Punctuation,1 month ago (edited),2
),Punctuation,18 hours ago (edited),1
),Punctuation,19 hours ago (edited),2
),Punctuation,21 hours ago (edited),1
),Punctuation,3 weeks ago (edited),1
),Punctuation,4 weeks ago (edited),4
